nombre,poblacion,superficie,continente
Argentina,45376763,2780400,America
Japon,125800000,377975,Asia
Brasil,213993437,8515767,America
Alemania,83149300,357022,Europa
Egipto,102334404,1002450,Africa
Australia,25687041,7692024,Oceania
Nigeria,206139589,923768,Africa
Francia,65273511,551695,Europa
Canada,38005238,9984670,America
India,1380004385,3287263,Asia
Sudafrica,59308690,1221037,Africa
Italia,59110000,301340,Europa
Mexico,126014024,1964375,America
China,1439323776,9596961,Asia
Rusia,145912025,17098242,Europa
Reino Unido,67081234,243610,Europa
Indonesia,273523615,1904569,Asia
Colombia,50882891,1141748,America
Espana,47351567,505990,Europa
Nueva Zelanda,5084300,268021,Oceania
Estados Unidos,331893745,9833520,America
Pakistan,220892340,881913,Asia
Bangladesh,164689383,148460,Asia
Filipinas,109581078,300000,Asia
Vietnam,97338579,331212,Asia
Turquia,84339067,783562,Asia
Iran,83992949,1648195,Asia
Tailandia,69799978,513120,Asia
Corea del Sur,51269185,100210,Asia
Arabia Saudita,34813871,2149690,Asia
Polonia,37950802,312679,Europa
Ucrania,43733762,603628,Europa
Paises Bajos,17134872,41850,Europa
Belgica,11589623,30528,Europa
Grecia,10423054,131957,Europa
Suecia,10099265,450295,Europa
Portugal,10196709,92090,Europa
Etiopia,114963588,1104300,Africa
Republica Democratica del Congo,89561403,2344858,Africa
Tanzania,59734218,947303,Africa
Kenia,53771296,580367,Africa
Argelia,43851044,2381741,Africa
Marruecos,36910560,446550,Africa
Ghana,31072940,238533,Africa
Sudan,43849260,1861484,Africa
Peru,33035304,1285216,America
Chile,19116201,756102,America
Venezuela,28435943,916445,America
Ecuador,17643054,283561,America
Bolivia,11673021,1098581,America
Cuba,11326616,110860,America
Papua Nueva Guinea,8947024,462840,Oceania
